                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6098,                 1.4388,                  1.755,                 1.6019,                 1.7631,                 1.6901,                0.60247,                0.55037,                0.58751,                0.29036,                 1.6666,                 1.3854,                 1.8262,                 1.5701,                 1.6818,                 1.7295,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5816,                 1.3884,                  1.732,                 1.6056,                 1.6881,                 1.6698,                0.63584,                0.58842,                0.60226,                0.30656,                 1.5544,                 1.3877,                 1.8041,                 1.5664,                 1.7091,                 1.7398,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5628,                 1.4006,                 1.7138,                 1.5999,                 1.6835,                 1.6505,                 0.6378,                0.58316,                0.63503,                0.33969,                  1.576,                  1.326,                 1.7495,                 1.5859,                 1.5135,                 1.7236,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.5827,                 1.3926,                 1.7564,                 1.5955,                 1.6908,                  1.693,                0.62007,                 0.5635,                0.60843,                0.35318,                 1.3799,                 1.4449,                 1.6259,                 1.3936,                  1.673,                 1.6055,               0.001505,               0.001505,               0.001505
                     28,                 1.5296,                  1.348,                 1.6882,                 1.5561,                 1.6469,                 1.6387,                0.66873,                0.62421,                0.68906,                0.41568,                 1.3296,                 1.3253,                 1.5811,                 1.3777,                 1.5349,                 1.5548,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.522,                 1.3379,                 1.6768,                 1.5692,                 1.6238,                 1.6196,                0.58051,                0.59895,                0.61665,                0.36514,                 1.4503,                 1.3059,                 1.6237,                 1.4104,                 1.5287,                 1.5736,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.5195,                 1.3328,                 1.6571,                 1.5687,                 1.6174,                 1.6155,                0.63309,                0.61389,                0.66475,                0.36202,                 1.4568,                 1.2795,                 1.6731,                 1.4526,                 1.4717,                 1.6546,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4946,                 1.3019,                 1.6472,                 1.5076,                 1.5772,                 1.6045,                0.68301,                0.59579,                0.68477,                0.40176,                  1.291,                 1.3271,                 1.5336,                 1.3335,                 1.5669,                 1.5689,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4863,                 1.2895,                 1.6435,                 1.5329,                 1.5697,                 1.5906,                0.65657,                0.60573,                0.66745,                0.37356,                 1.4845,                 1.2242,                  1.697,                 1.4596,                 1.4431,                  1.661,               0.001406,               0.001406,               0.001406
                     33,                 1.4729,                 1.2831,                 1.6467,                 1.5046,                 1.6064,                 1.6111,                0.63751,                0.61053,                0.66252,                0.37418,                 1.4201,                 1.2479,                 1.6329,                 1.4029,                  1.411,                 1.5882,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.4829,                 1.2826,                 1.6467,                 1.5102,                 1.5528,                 1.6155,                0.64277,                0.59789,                 0.6591,                0.39843,                 1.3032,                 1.2558,                 1.5549,                 1.3276,                 1.4835,                 1.5532,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4465,                 1.2645,                 1.6041,                 1.4988,                 1.5419,                 1.5854,                 0.7184,                0.59579,                0.70472,                0.40135,                 1.4172,                 1.2217,                 1.6427,                 1.4357,                 1.4178,                 1.6338,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3867,                 1.1933,                   1.56,                   1.43,                 1.4689,                 1.5303,                0.58222,                0.60526,                0.63232,                0.36175,                 1.3959,                  1.399,                 1.6238,                 1.4345,                 1.5803,                 1.6163,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4423,                 1.2144,                 1.5961,                 1.4891,                 1.4857,                 1.5692,                0.66957,                0.61217,                0.68734,                0.39843,                 1.3168,                 1.2508,                 1.5529,                 1.3452,                 1.4136,                 1.5316,               0.001307,               0.001307,               0.001307
                     38,                 1.4361,                 1.2093,                 1.5968,                 1.4969,                 1.4701,                 1.5715,                0.64721,                0.66105,                0.70726,                0.44709,                 1.2027,                 1.2356,                  1.467,                 1.2173,                 1.3511,                 1.4365,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3989,                 1.1976,                 1.5627,                  1.481,                 1.4359,                 1.5424,                0.67322,                0.65474,                0.72027,                0.44452,                 1.2606,                 1.1464,                 1.4884,                 1.2965,                 1.3088,                 1.5002,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4116,                 1.2404,                 1.5835,                  1.454,                 1.4998,                 1.5555,                0.78314,                0.65761,                0.76411,                0.48571,                 1.2212,                 1.0584,                 1.4646,                 1.2504,                 1.2206,                 1.4723,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3612,                 1.1995,                 1.5535,                 1.4166,                 1.4517,                 1.5286,                0.69792,                0.64947,                0.72911,                0.45203,                 1.2942,                 1.0517,                 1.5109,                 1.3097,                 1.2203,                 1.5061,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3932,                 1.2007,                 1.5811,                 1.4525,                 1.4375,                 1.5476,                0.71936,                0.63684,                0.72654,                0.42922,                 1.3304,                 1.1822,                 1.5694,                 1.3503,                  1.344,                 1.5696,               0.001208,               0.001208,               0.001208
                     43,                 1.3894,                 1.1594,                 1.5472,                 1.4557,                 1.4004,                  1.534,                0.67984,                0.65263,                0.67587,                0.40649,                 1.3048,                 1.2684,                 1.5335,                 1.2894,                 1.4463,                 1.5436,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3483,                 1.1317,                 1.5178,                 1.4202,                 1.3681,                 1.4989,                0.71161,                0.62598,                0.72678,                0.42697,                 1.3361,                 1.2107,                 1.5348,                 1.3613,                 1.4201,                 1.5313,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3608,                 1.1305,                 1.5345,                 1.4302,                 1.3531,                 1.5186,                0.69777,                0.67803,                0.74522,                0.44388,                 1.3082,                 1.2007,                  1.522,                 1.3503,                 1.2934,                 1.5333,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3599,                 1.1403,                 1.5352,                 1.4173,                 1.3487,                 1.5121,                0.73594,                0.66301,                0.75697,                0.46178,                 1.2645,                 1.1116,                 1.4904,                 1.3312,                  1.257,                 1.4941,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3562,                  1.131,                 1.5371,                 1.4298,                 1.3518,                 1.5117,                0.66908,                0.65976,                0.71551,                0.43941,                 1.2886,                 1.1223,                 1.5298,                 1.2788,                 1.2764,                  1.481,               0.001109,               0.001109,               0.001109
                     48,                 1.3323,                 1.1199,                 1.5251,                 1.3778,                 1.3451,                 1.4918,                0.72144,                0.62421,                0.70429,                0.41043,                 1.3747,                 1.1489,                 1.5562,                 1.3946,                 1.3498,                  1.567,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3159,                 1.0956,                 1.4893,                 1.3697,                 1.3074,                 1.4812,                0.75371,                 0.6346,                0.73824,                0.44498,                 1.2838,                 1.1804,                 1.5386,                 1.2825,                 1.3621,                 1.5084,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.3399,                 1.1124,                 1.5132,                 1.4115,                 1.3283,                 1.4964,                0.76523,                0.62421,                0.74998,                0.47975,                 1.1946,                 1.0845,                 1.4184,                 1.2183,                 1.2278,                 1.4174,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3016,                 1.0973,                 1.4802,                  1.378,                 1.2984,                 1.4608,                0.68566,                0.67579,                0.74822,                0.44548,                 1.2758,                 1.1398,                 1.5514,                 1.2981,                 1.3478,                 1.5444,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2668,                 1.0523,                 1.4621,                 1.3555,                 1.2514,                 1.4473,                0.70409,                0.69579,                0.74904,                0.45984,                 1.2663,                 1.2279,                  1.512,                  1.279,                 1.4616,                 1.4934,                0.00101,                0.00101,                0.00101
                     53,                 1.2748,                 1.0363,                 1.4503,                 1.3593,                  1.232,                 1.4496,                0.68942,                0.68526,                0.74183,                0.46507,                 1.2493,                 1.0413,                 1.4803,                 1.2556,                 1.2003,                 1.4607,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2698,                 1.0312,                 1.4588,                 1.3546,                 1.2463,                 1.4534,                 0.7753,                0.64421,                0.77149,                0.48371,                 1.2109,                 1.1116,                 1.4491,                 1.2579,                 1.2142,                 1.4432,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2737,                 1.0402,                 1.4504,                 1.3515,                  1.245,                 1.4427,                0.69577,                0.67887,                0.75385,                 0.4802,                 1.2198,                 1.1555,                 1.4566,                  1.269,                 1.3628,                 1.4549,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2675,                 1.0424,                 1.4548,                 1.3394,                 1.2532,                 1.4421,                 0.8088,                0.67474,                0.79229,                 0.5213,                 1.1762,                 0.9576,                 1.3987,                  1.194,                 1.0861,                 1.3985,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2417,                 1.0108,                 1.4415,                  1.312,                 1.2072,                 1.4338,                0.75409,                0.67789,                0.77565,                0.49065,                 1.2536,                 1.0197,                 1.4924,                 1.2881,                 1.1015,                 1.4813,               0.000911,               0.000911,               0.000911
                     58,                 1.2568,                 1.0194,                 1.4459,                 1.3362,                 1.2207,                 1.4453,                0.78587,                0.63579,                0.74611,                0.45467,                 1.2966,                 1.1641,                 1.5344,                 1.3231,                 1.2938,                 1.5134,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2658,                  1.008,                 1.4556,                 1.3317,                 1.2223,                  1.442,                0.72681,                0.65684,                0.74644,                0.48001,                 1.2079,                 1.1108,                 1.4376,                 1.2215,                 1.2893,                 1.4106,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2797,                 1.0478,                 1.4537,                 1.3556,                  1.253,                 1.4507,                0.71441,                0.70834,                0.77481,                0.50258,                 1.1814,                 1.0404,                 1.4324,                  1.225,                 1.1997,                  1.447,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2263,                0.99632,                 1.4319,                 1.3033,                 1.1984,                 1.4372,                0.77708,                0.69895,                0.78907,                0.49488,                 1.2249,                0.98544,                 1.4706,                 1.2356,                 1.2023,                 1.4418,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2253,                0.98666,                 1.4137,                 1.2882,                 1.2079,                 1.4118,                 0.7572,                0.70908,                0.78771,                0.48673,                 1.2317,                 1.0401,                 1.4707,                 1.2779,                 1.1884,                 1.4422,               0.000812,               0.000812,               0.000812
                     63,                 1.2659,                 1.0237,                 1.4531,                 1.3579,                 1.2285,                 1.4446,                0.78255,                0.69053,                 0.7915,                0.50797,                 1.2076,                0.94968,                 1.4611,                 1.2287,                  1.098,                 1.4437,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2122,                0.97874,                 1.4179,                  1.296,                 1.1819,                 1.4229,                0.73925,                0.69536,                0.77396,                 0.4945,                  1.181,                 1.0311,                 1.4448,                 1.2439,                 1.1756,                 1.4453,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1948,                0.95619,                 1.4138,                 1.2592,                 1.1636,                 1.4031,                0.76559,                0.70526,                0.79969,                 0.5276,                 1.1568,                0.94946,                 1.3939,                 1.1885,                  1.093,                 1.3977,              0.0007526,              0.0007526,              0.0007526
